#	number
#	pound
(F)	final
EENT	eyes, ears, nose and throat
EEOC	equal employment opportunity commission
EEP	end expiratory pressure
EES	erythromycin ethylsuccinate
EEV	encircling endocardial ventriculotomy
EF	ectopic focus
EF	edema factor
EF	effusion fluid
EF	ejection factor
EF	ejection fraction (heart)
EF	endurance factor
EF	erythroblastosis fetalis
EF	extended-field (radiotherapy)
EF	extrinsic factor
EF/WM	ejection fraction/wall motion
EFA	essential fatty acids (lab/chemistry)
EFAD	essential fatty acid deficiency
EFBW	estimated fetal body weight
EFE	endocardial fibroelastosis
EFHBM	eosinophilic fibrohistiocytic lesion of bone marrow
EFL	effective focal length
EFM	electronic fetal monitor(ing)
EFM	external fetal monitoring
EFP	effective filtration pressure
EFP	endoneural fluid pressure
EFR	effective filtration rate
EFS	effective focal spot
EFS	ethmoidofrontosphenoidectomy
EFV	extracellular fluid volume
EFVC	expiratory flow-volume curve (pulmonary function test)
EFW	estimated fetal weight
EG	esophagogastrectomy (op/gastrointestinal)
EGA	esophageal gastric (tube) airway
EGA	estimated gestational age
EGBUS	external genitalia, Bartholin, urethral and Skene's glands
EGC	early gastric cancer
EGC	early gastric carcinoma
EGC	esophagogastrocolic anastomosis
EGD	esophagogastroduodenoscopy
EGDF	embryonic growth and development factor
EGF	essential growth factor
EGF	epidermal growth factor
EGFR	epidermal growth factor receptor
EGG	electrogastrogram (procedure/gastro)
EGJ	esophagogastric junction
EGL	eosinophilic granuloma of the lung
EGTA	esophageal gastric tube airway
EH	educationally handicapped
EH	enlarged heart
EH	epidemic hemorrhagic (fever)
EH	epidurales hematoma
EH	essential hypertension
EH	extramedullary hematopoiesis
EHAA	epidemic hepatitis-associated antigen
EHB	elevate head of bed
EHB	extensor hallucis brevis
EHBA	extrahepatic biliary atresia
EHBF	estimated hepatic blood flow
EHBO	extra hepatic bile duct obstruction
EHC	epidemic hemorrhagic conjunctivitis
EHD	electro hemodynamics
EHD	extra hepatic duct
EHDV	epizootic hemorrhagic disease virus
EHE	epithelioid hemanigio-endothelioma
EHEC	enterohemorrhagic Escherichia coli
EHF	epidemic hemorrhagic fever
EHG	electrohysterography
EHH	esophageal hiatal hernia
EHL	electrohydraulic lithotripsy(of radioative substances)
EHL	extensor hallucis longus
EHO	extrahepatic obstruction
EHT	essential hypertension
EI	enzyme inhibitor
EIA	enzyme immunoassay
EIA	equine infectious anemia
EIA	exercise induced asthma
EIA	external iliac artery
EIAB	extracranial-intracranial arterial bypass
EIAB	external internal arterial bypass(craniectomy)
EIAV	equine infectious anemia virus
EIB	exercise induced bronchospasm
EID	electroimmunodiffusion
EID	electronic infusion device
EIEC	enteroinvasive Escherichia coli
EIEE	early infantile epileptic encephalopathy
EIP	elective interruption of pregnancy
EIP	end-inspiratory pressure
EIP	extensor indicis proprius
EIS	endoscopic injection scleropathy
EIU	endoscopic internal urethrotomy
EIV	external iliac vein
EJ	elbow jerk
EJ	elbow joint
EJ	external jugular
EJB	ectopic junctional beat
EKC	epidemic keratoconjunctivitis
EKG	electrocardiogram
EKO	echoencephalogram
EKV	erythrokeratodermia variabilis
EKY	electrokymogram
ELAM	endothelial leukocyte adhesion molecule
ELAS	extended lymphadenopathy syndrome
ELBF	effective liver blood flow
ELBW	extremely low birth weight
ELF	elective low forceps
ELH	endolymphatic hydrops
ELI	endomyocardial lymphocytic infiltrates
ELLDH	extreme lateral lumbar disc herniation
ELO	enteroviral leukemic oncogene
ELOP	estimated length of program
ELOS	estimated length of stay
ELPS	excessive lateral pressure syndrome
ELS	Eaton-Lamabert syndrome
ELT	euglobulin lysis time
EM	early memory
EM	ejection murmur
EM	electron microscope
EM	erythema migrans
EM	erythema multiforme
EM	erythrocyte mass
EM	extensive metabolizers
EMA	early morning awakening
EMA	endomysial antibody
EMA-CO	etoposide, methotrexate, actinomycin D(dactinomycin), cyclophosphamide and Oncovin
EMB	endometrial biopsy
EMB	endomyocardial biopsy
EMD	electromechanical dissociation
EMD	esophageal mobility disorder
EMDR	eye movement desensitization and reprocessing
EMF	elective mid forceps
EMF	electromagnetic flowmeter
EMF	endomyocardial fibrosis
EMF	erythrocyte maturation factor
EMF	evaporated milk formula
EMG	electromyography
EMG	essential monoclonal gammopathy
EMGN	extramembranous glomerulonephritis
EMI	emergency medical information
EMIA	enzyme membrane immunoassay
EMIC	emergency maternity and infant care
EMIT	enzyme multiplied immunoassay technique
EMLB	erythromycin lactobionate
EMLD	external muscle layer damage
EMMV	extended mandatory minute ventilation
EMP	extramedullary plasmacytoma
EMR	educable mentally retarded
EMR	effective membrane resistance
EMR	electrical muscle stimulation
EMR	emergency mechanical restraint
EMR	empty, measure and record
EMR	essential metabolism ratio
EMR	extramedullary site
EMR	eye movement recording
EMS	electrical muscle stimulation
EMS	emergency medical services
EMS	eosinophilia myalgia syndrome
EMT	emergency medical team
EMT	emergency medical technician
EMT	emergency medical treatment
EMV	eye, motor, verbal (grading for Glasgow coma scale)
EMVC	early mitral valve closure
EMW	electromagnetic waves
EN	enternal nutrition
EN	erythema nodosum
ENA	extractable nuclear antigen
ENB	esthesioneuroblastoma
ENBD	endoscopic nasal biliary drainage
ENG	electronystagmogram
ENL	erythema nodosum leprosum
ENOG	electroneurography
ENP	extractable nucleoprotein
ENT	ears, nose and throat
ENVD	elevated new vessels on the disc
EO	elbow orthosis
EO	ethylene oxide
EO	eyes open
EOA	erosive osteoarthritis
EOA	esophageal obturator airway
EOA	external oblique aponeurosis
EOB	emergency observation bed
EOB	end of bed
EOC	epiphyseal ossification center
EOD	every other day (this is a dangerous abbreviation)
EOG	electro-oculography
EOM	external otitis media
EOM	extraocular movement
EOM	extraocular muscles
EOMI	extraocular muscles intact
EOR	emergency operating room
EORA	elderly onset rheumatoid arthritis
EP	ectopic pregnancy
EP	endogenous pyrogen
EP	eosinophilic pneumonia
EP	epidural pressure
EP	erythrophagocytosis
EP	esophageal pressure
EP	evoked potentials
EP	extreme pressure
EPAP	expiratory positive airway pressure
EPB	extensor pollicis brevis
EPC	erosive prephloric changes
EPCG	endoscopic pancreatico-cholangiography
EPD	equilibrium peritoneal dialysis
EPEC	enteropathogen Escherichia coli
EPF	exophthalmos-producing factor
EPG	electronic pupillography
EPI	epithelial cells
EPI	exocrine pancreatic insufficiency
EPL	extensor pollicis longus
EPM	electronic pacemaker
EPNL	effective perceived noise level
EPO	erythropoietin
EPP	erythropoietic protoporphyria
EPR	electrophrenic respiration
EPR	emergency physical restraint
EPS	electrical programmed stimulation
EPS	electrophysiologic study
EPS	extrapyramidal syndrome (symptom)
EPSDT	early periodic screening diagnosis and treatment
EPSE	extrapyramidal side effects
EPSS	E point septal separation
EPT	early pregnancy test
EPTS	existed prior to service
ER	ejection rate
ER	emergency room
ER	emptying rate
ER	estrogen receptors
ER	equine rhinopneumonia
ER	equivalent roentgen
ER	erythrocyte receptor
ER	external rotation
ER test	estrogen receptor test
ER+	estrogen receptor-positive
ER/PR	estrogen receptor/progesterone receptor
ERA	estrogen receptor assay
ERA	evoked response audiometry
ERBD	endoscopic retrograde biliary drainage
ERBF	effective renal blood flow
ERCP	endoscopic retrograde cholangiopancreatogram
ERCT	emergency room computerized tomography
ERE	external rotation in extension
ERF	external rotation in flexion
ERFC	erythrocyte rosette-forming cells
ERG	electroretinogram
ERL	effective refractory length
ERM	epiretinal membrane (H 35.9)
ERNA	equilibrium radionuclide angiocardiography
ERP	effective refractory period
ERP	emergency room physician
ERP	endocardial resection procedure
ERP	endoscopic retrograde pancreatography
ERP	estrogen receptor protein
ERP	event-related potentials
ERPF	effective renal plasma flow
ERS	endoscopic retrograde sphincterotomy
ERS	evacuation of retained secretions
ERST	external rotation stress test
ERT	estrogen replacement theraphy
ERT	external radiotheraphy
ERV	expiratory reserve volume
ES	electrical stimulation
ES	emergency service
ES	endometritis-salpingitis
ES	endoscopic sphincterotomy
ES	end-to-side
ES	exfoliation syndrome
ES	extra strength
ESA	end-to-side anastomosis
ESAP	evoked sensory(nerve) action potention
ESC	end systolic counts
ESD	esophagus, stomach and duodenum
ESF	erythropoietic stimulating factor
ESF	external skeletal fixation
ESLD	end-stage liver disease
ESM	ejection systolic murmur
ESM	endolymphatic stromal myosis
ESP	endometritis, salpingitis, and peritonitis
ESP	end systolic pressure
ESP	extrasensory perception
ESPO	esperson ointment
ESR	erythrocyte sedimentation rate
ESRD	end-stage renal disease
ESRF	end-stage renal failure
ESS	emotional, spiritual and social
ESS	endoscopic sinus surgery
ESS	erythrocyte sensitizing substance
EST	electroshock therapy
EST	electrostimulation therapy
EST	endoscopic sphincterotomy
EST	exercise stress test
ESWL	extracorporeal shockwave lithotripsy
ET	effective temperature
ET	ejection time
ET	enterostomal therapy (therapist)
ET	erythrocyte thyroid test
ET	essential thrombocythemia
ET	esotropia for near
ET	essential tremor
ET	eustachian tube(E-tube)
ET	exchange transfusion
ET	exercise test
ET	expiration time
ET	exercise treadmill
ETA	endotracheal airway
ETC	estimated time of conception
ETCO	end tidal carbon dioxide
ETD	eustachian tube dysfunction
ETE	end-to-end
ETEC	enterotoxigenic Escherichia coli
ETF	eustachian tubal function
ETH	elixir terpin hydrate(medication order)
ETHcC	elixir terpin hydrate with codeine(medication order)
ETI	ejective time index
ETM	erythromycin (on culture and sensitivity reports)
ETOP	elective termination of pregnancy
ETP	elective termination of pregnancy
ETP	entire treatment period
ETR	effective thyroxine ratio(nuclear medicine)
ETS	endotracheal suction
ETS	end-to-side
ETS	erythromycin topical solution
ETS	esophageal transit study
ETT	endotracheal tube
ETT	esophageal transit time
ETT	exercise tolerance test
ETT	extrathyroidal thyroxine
ETU	emergency and trauma unit
EU	Ehrlich units(urobilinogen)
EU	enzyme unit
EU	equivalent units
EU	esophageal ulcer
EU	etiology unknown
EU	excretory urography
EUA	examine under anesthesia (pro/gynecology)
EUCD	emotionally unstable character disorder
EUG	extrauterine gestation
EUM	external urethral meatus
EUP	extrauterine pregnancy
EUS	external urethral sphincter
EV	electron volt(unit of radiation energy)
EV	epidermodysplasia verruciformis
EV	esophageal varices
EVA	ethylene vinyl acetate
EVA	emergency treatment unit
EVD	external ventricular drainage
EVL	endoscopic varix ligation
EVLT	Endovein laser therapy
EVS	endoscopic variceal sclerosis
EWB	estrogen withdrawal bleeding
EWHO	elbow-wrist-hand orthosis
EWL	effective wave length
EWL	estimated weight loss
EWSCLs	extended-wear soft contact lenses
EWT	erupted wisdom teeth
EXEF	exercise ejection fraction
EXH VT	exhaled tidal volume
EXU	excretory urogram
Echino	echinocyte
Edent	edentulous
Edr	edrophonium
Eff	effacement
Efn	effusion
Elix	elixir (medication order/presc)
Ellip	elliptocytosis
Elp	electrophoresis
Em	emmetropia(eye examination)
Em	erythromycin
Emb	ethambutol(tunberculosis therapy)
Emc	encephalomyocarditis
Emg	emergency
Endo	endodontia
Endo	endoscopy
Endo	endotracheal
Endo	endocrinology
Enf	Enfamil
Eng	engorged
Envt	environment
Eo	eosinophilia (on white blood count reports)
Ep	electrophoresis
Ep	electrophysiologic
Epc	epilepsy
Epi	epinephrine
Epis	episiotomy
Epith	epithelial
Erv	einsytinium
Eso	esophagus
Eso	esotropia
Esp	especially
Et	esotropia (eye examination)
Et	endotracheal
Eta	ethionamide
Eth	etanol
Etoh	alcohol
Eu	euroium
Ev	extravascular
Evac	evacuation
Eval	evaluate
Eve	evening
ExPGN	extracapillary proliferative glomerulonephritis
Exhib	exhibit
Exl	elixir
Exo	exotropia
Exoph	exophthalmos
Exp	experienced
Exp	expired
Exp	exploration
Exp	expose
Ext	extension
Ext	extensor
Ext	external
Ext	extract
Ext	extraction
Ext	extremity
Ext mon	extenal monitor
Extub	extubation
Ez	eczema
F	facial
F	Fahrenheit
F	fair
F	fasting
F	female
F	fertility(plasmid)
F	finger
F	firm
F	flow
F	fluid
F	fluoride
F	Fluoscopy
F	focal
F	foramen
F	force
F	formula
F	frequency
F	from
F	frontal
F	fundi
F	hydrocortisone
F	visual field
F & C	foam and condom
F & D	fixed and dilated
F & R	force & rhythm(pulse)
F & S	full and soft(diet order)
F & U	flanks and upper quadrants
F VIII	factor VIII (8)
F and E	fluid and electrolyte
F cath	Foley catheter
F to N	finger to nose
F waves	fibrillatory waves
F waves	flutter waves
F-Angio	fluorescent angiogram
F-Anti	fluorescent antibody
F-CL	fluorouracil and calcium leucovorin
F-P	femoral popliteal
F-SM/C	fungus, smear and culture
F-cho	free cholesterol
F-insuli	fibrous insulin
F/	full upper denture
F/B	forward bending
F/N	fluids and nutrition
F/NS	fever and night sweats
F/U	follow-up
F/U	fundus at umbilicus
F/up	follow-up
F3T	trifluridine
FA	far advanced
FA	fatty acid
FA	femoral artery
FA	first aid
FA	fluorescein angiogram
FA	folic acid
FA	forearm
FAA	fatty acid acceptor
FAA	febrile antigen
FAA SOL	formalin, acetic, and alcohol solution
FAB	first-aid box
FAB	functional arm brace
FABF	femoral artery blood flow
FAC	femoral arterial cannulation
FAC	fluorouracil. Adriamycin and cyclophosphamide
FAC	fractional area concentration
FACS	fluorescense-activated cell sorting
FAD	familial Alzheimer's disease
FAD	fetal abdominal diameter
FAD	flavin adenine dinucleotide
FAE	fetal alcohol effect
FAEmb	femoral artery embolism
FAGA	full-term appropriate for gestational age
FAM	family
FAM	fluorouracil, Adriamycin, and mitomycin
FAMA	fluorescent antibody to membrane antigen
FANA	fluorescent antinuclear antibodies(laboratory/chemistry)
FAP	familial adenomatous polyposis
FAP	familial amyloid polyneuropathy
FAP	femoral artery pressure
FAP	fibrillating action potentials
FAS	fetal alcohol syndrome
FAST	fluorescent antibody staining technique
FAT	fetal activity test
FAT	fluorescent antibody test
FB	fasting blood(sugar)
FB	finger breadth
FB	foreign body
FBC	full blood count
FBD	fibrocystic breast disease
FBD	functional bowel disease
FBF	forearm blood flow
FBG	foreign-body-type granuloma
FBH	familial benign hypercalcemia
FBI	full bony impaction
FBM	fetal breathing motion
FBP	femoral blood pressure
FBP	fibrin breakdown products(laboratory/coagulation)
FBS	fasting blood sugar(laboratory/chemistry)
FBS	fetal bovine serum
FBS	fibroptic bronchoscopy
FBSS	failed back surgery syndrome
FBremova	foreign body removal
FC	febrile convulsion
FC	female child
FC	fever, chills
FC	finger clubbing
FC	finger counting(eye examination)
FC	flexion contractor
FC	flucytosine
FC	Foley catheter
FC	foster care
FC	functional capacity
FC	functional classification
FCBD	fibrocystic breast disease
FCC	familial colonic cancer
FCC	femoral cerebral catheter
FCC	follicular center cells
FCCD	fracture compound comminuted depressed
FCCL	follicular center cell lymphoma
FCD	fibrocystic disease
FCE	fluorouricil, cisplatin and etoposide
FCE	fracture compound depression
FCH	familial combined hyperlipidemia
FCL	fibular collateral ligament
FCMD	Fukiyama's congenital muscular dystrophy
FCP	formocresol pulpotomy
FCR	flexor carpi radialis
FCS	fever, chills and sweating
FCS	fiberoptic colonoscopy
FCSNVD	fever, chills, sweating, nausea, vomiting and diarrhea
FCU	flexor carpi ulnaris
FD	familial dysautonomia
FD	fatal dose
FD	fetal demise
FD	fetal distress
FD	focal distance(eye examination)
FD	foot drop
FD	forceps delivery(obstetrics)
FD	fracture depressed
FD	free drain
FD	full denture
FDA	Food and Drug Administration
FDA	right fronto-anterior(position of fetus)[L.frontodextra anterior]
FDE	fixed drug eruption
FDG	feeding
FDGS	feedings
FDIU	fetal death in utero
FDL	flexor digitorum longus
FDLMP	first day of last menstrual period
FDM	fetus of diabetic mother
FDM	flexor digiti minimi
FDP	fibrin degradation poducts(laboratory/coagulation)
FDP	right frontoposterior (position of fetus)[L.frontodextra posterior]
FDP	flexor digitorum profundus
FDS	fetal distress syndrome
FDS	flexor digitorum superficialis
FDS	for duration of hospital stay
FDT	right frontotransverse(position of fetus)[L. frontodextra transversa]
FDV	first desire to void
FEC	fluorouracil, etoposide, and cisplatin
FEC	forced expiratory capacity
FECG	fetal electrocardiogram(procedure/obstetrics)
FECVC	functional extracellular fluid volume
FEDL	fat extracted dry liver
FEF	forced expiratory flow(pulmonary function test)
FEL	familial erythrophagocytic lymphohistiocytosis
FEN	fluid, electrolytes and nutrition
FENa	fractional extraction of sodium
